brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
Roadster,Men Pure Cotton Jeans,974,2499,0.61,3.6,1100
Bene Kleed,Relaxed Fit Denim Jeans,873,2299,0.62,4,4800
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
HERE&NOW,Men Stretchable Jeans,798,1699,0.53,4,33
Urbano Fashion,Men Relaxed Fit Jeans,944,2099,0.55,4,4200
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
Bene Kleed,Men Wide Leg Heavy Fade Jeans,839,2799,0.7,3.6,114
Bene Kleed,Relaxed Fit Denim Jeans,873,2299,0.62,4.1,5200
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
Bene Kleed,Men Bootcut Jeans,873,2299,0.62,4,757
Bene Kleed,Men Wide Leg Jeans,857,2599,0.67,3.6,152
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.6,152
styzon,Men Jogger Mid-Rise Jeans,899,3599,0.75,4.1,64
Roadster,Cotton Ecru Straight Fit Jeans,949,2499,0.62,3.8,80
Calvin Klein Jeans,Men Slim Fit Jeans,949,2499,0.62,3.8,80
styzon,Men Relaxed Fit Jeans,989,1799,0.45,3.9,42
Bene Kleed,Men Bootcut Jeans,850,2299,0.63,3.9,1000
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,769,2749,0.72,3.6,432
Bene Kleed,Men Mid-Rise Boot Cut Jeans,873,2299,0.62,4,591
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4,591
WROGN,Men Pure Cotton Loose Jeans,1449,2499,0.42,3.9,111
Urbano Fashion,Men Relaxed Fit Jeans,1034,2299,0.55,3.6,618
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Kotty,Men Low-Rise Jeans,519,1999,0.74,3.7,1500
Bene Kleed,Men Relaxed Fit Jeans,873,2299,0.62,4.1,4200
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4.1,4200
Roadster,Men Wide Leg Jeans,999,2499,0.6,3.4,53
Kotty,Men Straight Fit Jeans,719,1999,0.64,3.8,61
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
Mast & Harbour,Men Bootcut Jeans,869,2999,21.3,4.1,211
Kotty,Men Low-Rise Cargo  Jeans,639,1999,0.68,4.2,2000
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
Mast & Harbour,Men Stretchable Jeans,758,2299,0.67,3.4,441
Urbano Fashion,Men Slim Fit Jeans,629,1399,0.55,4,22300
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
The Indian Garage Co,Men Slim Fit Mid-Rise Jeans,659,1999,0.67,4,1600
Roadster,Men Black Faded Casual Jeans,774,2499,0.69,3.5,868
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
Mast & Harbour,Men Straight Fit Jeans,764,1699,0.55,3.5,38
Roadster,Men Slim Fit Jeans,681,2199,0.69,3.8,185
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
Mast & Harbour,Men Slim Tapered Fit Jeans,701,2599,0.73,3.8,314
The Indian Garage Co,Men Pure Cotton Skater Jeans,688,2549,0.73,3.7,35
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.7,35
The Indian Garage Co,Men Relaxed Fit Jeans,808,2449,0.67,3.5,589
glitchez,Men Straight Fit Jeans,797,1399,0.43,4,230
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
Thomas Scott,Men Bootcut Stretchable Jeans,874,3499,0.75,3.6,234
Mast & Harbour,Men Relaxed Fit Jeans,819,2599,17.8,3.4,252
Mufti,Men Skinny Fit Jeans,1762,4299,0.59,4.9,7
HIGHLANDER,Men Cotton Relaxed Fit Jeans,574,2299,0.75,3.5,234
Mast & Harbour,Men Stretchable Jeans,889,2999,0.7,3.7,189
Mufti,Men Slim Fit Jeans,1214,4499,0.73,4.4,43
Urbano Fashion,Men Relaxed Fit Jeans,944,2099,0.55,3.8,567
Bene Kleed,Men Wide Leg High-Rise Jeans,1035,2799,0.63,3.9,45
Mufti,Men Skinny Fit Jeans,2149,4299,0.5,3.9,45
Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764,1699,0.55,4,9
HIGHLANDER,Men Relaxed Fit Cotton Jeans,791,2399,0.67,3.6,2800
Mufti,Men Slim Fit Stretchable Jeans,1332,4299,0.69,3.4,87
Bene Kleed,Men Straight Fit Jeans,989,2999,0.67,4.1,73
V-Mart,Men Straight Fit Jeans,809,899,0.1,3.5,41
Flying Machine,Men Relaxed Fit Jeans,1424,2499,0.43,4.1,8
Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079,2399,0.55,4,485
The Indian Garage Co,Men Relaxed Fit Jeans,661,2449,0.73,3.8,127
Levis,Men 511 Slim Fit Jeans,2079,3199,0.35,4.2,794
Kotty,Men Regular Fit Mid-Rise Jeans,659,1999,0.67,3.4,21
Urbano Fashion,Men Bootcut Jeans,944,2099,0.55,4.1,1100
Levis,Men Regular Fit Jeans,944,2099,0.55,4.1,1100
Roadster,Men Relaxed Fit Jeans,645,1699,0.62,3.6,45
Mast & Harbour,Men Cotton Regular Fit Jeans,1121,2199,0.49,1.8,423
Flying Machine,Men Tapered Fit Jeans,1829,2999,0.39,1.8,423
Bene Kleed,Men Straight Fit Jeans,979,3499,0.72,3.5,115
Nautica,Men Slim Fit Jeans,1088,3299,0.67,4.5,30
Flying Machine,Men Micheal Slim Fit Jeans,1559,2599,0.4,4.1,554
Bene Kleed,Men High-Rise Baggy Fit Jeans,983,2399,0.59,3.6,34
Urbano Fashion,Men Mid Rise Bootcut Jeans,899,1999,0.55,4.2,1200
Mufti,Men Slim Fit Mid-Rise Jeans,1332,4299,0.69,4.1,24
MASTERLY WEFT,Men Mid-Rise Stretchable Jeans,959,1999,0.52,3.2,6
Kotty,Men Low-Rise Jeans,619,1999,0.69,4.4,25
Flying Machine,Men Super Skinny Fit Jeans,1649,2999,0.45,4.4,25
The Indian Garage Co,Men Slim Fit Jeans,659,1999,0.67,3.8,1400
glitchez,Men Baggy Loose Jeans,747,2199,0.66,3.3,65
Flying Machine,Men Slim Fit Mid-Rise Jeans,1448,2299,0.37,3.3,65
Mast & Harbour,Relaxed Fit Jeans,831,2599,0.68,3.6,203
Bene Kleed,Men Straight Fit Cotton Jeans,1049,2999,0.65,3.5,32
Mufti,Men Slim Fit Jeans,2149,4299,0.5,3.4,5
Roadster,Men Cotton Mid Rise Jeans,919,2299,0.6,3.9,61
